システム番号	システム名	ベンダ	本部紐づけ	BPRタスク1	BPRタスク2	BPRタスク3	BPRタスク4
170	基幹管理会計ＣＯ	MKI	退職計画	引継ぎ資料作成			
171	人事システム	LEG/BPIO	退職計画	引継ぎ資料作成	給与賞与仕訳	SSO実装	
173	アーカイブシステム	NII	退職計画	引継ぎ資料作成			
174	スタジオ管理	NII	退職計画	引継ぎ資料作成			
176	勤怠システム	BC	退職計画	引継ぎ資料作成			
177	グッズ事業管理システム	BC	退職計画	引継ぎ資料作成			
178	ライヴ事業管理システム	BC	退職計画	引継ぎ資料作成			
179	著作権再分配システム	DTS	退職計画	引継ぎ資料作成			
180	契約システム	DTS	退職計画	引継ぎ資料作成			
181	法務決裁システム	DTS	退職計画	引継ぎ資料作成			
182	アーティスト分配システム	ベスビオ	退職計画	引継ぎ資料作成			
183	印税ステメンWEB報告	DTS	退職計画	引継ぎ資料作成			
185	著作隣接権分配、二次利用計上システム	DTS・ベスビオ	退職計画	引継ぎ資料作成			
186	音楽事業管理システム	BC	退職計画	引継ぎ資料作成			
187	音楽出版ステメンWEB報告	DTS	退職計画	引継ぎ資料作成			
188	マスター資源管理システム	NII	退職計画	引継ぎ資料作成			
189	委員会分配システム	DTS	退職計画	引継ぎ資料作成			
190	映像事業管理システム	BC	退職計画	引継ぎ資料作成			
191	押印・契約書保管申請	DTS	退職計画	引継ぎ資料作成			
192	社員目標管理システム	DTS	退職計画	引継ぎ資料作成			
195	管理会計軸マスタ管理	BC	退職計画	引継ぎ資料作成			
197	データマート	DTS（BC）	退職計画	引継ぎ資料作成			
198	音楽配信メタ納品システム	DTS（BC）	退職計画	引継ぎ資料作成			
199	音楽配信実績取り込みシステム	DTS	退職計画	引継ぎ資料作成			
-	<システム未割当>		退職計画	過去メールアーカイヴ			
-	<システム未割当>		退職計画	情報成果物発注改善			
							
							
							
							
タスク	タスク情報	進行ステージ					
引継ぎ資料作成	担当システム一覧を作成し、運用保守状況を明確化する。担当システムのIndex化を行う。	共有ドライブ名称修正					
引継ぎ資料作成		Slackチャンネル名整備					
引継ぎ資料作成		環境情報（DB・AP）					
タスク	タスク情報	進行ステージ					
過去メールアーカイヴ	Gmail送信ボックスからサポートアドレスやシステム自動送信を除外し自分が送信したメールのみ抽出し本文を5000文字までの制限でスプレッドシートに書き出す。メールにしか残っていない合意事項や調整経緯をNoteBookLMで検索できるようにする	2026年					
過去メールアーカイヴ		2025年					
過去メールアーカイヴ		2024年					
過去メールアーカイヴ		2023年					
過去メールアーカイヴ		2022年					
過去メールアーカイヴ		2021年					
過去メールアーカイヴ		2020年					
過去メールアーカイヴ		2019年					
過去メールアーカイヴ		2018年					
過去メールアーカイヴ		2017年					
過去メールアーカイヴ		2016年					
過去メールアーカイヴ		2015年					
過去メールアーカイヴ		タグ付け					
過去メールアーカイヴ		NoteBookLM					
タスク	タスク情報	進行ステージ					
給与賞与仕訳	8月までに新給与賞与仕訳の設計を固め、新システムでの出力結果が現行システムと一致するよう現新照合を行う	2026年2月現新					
給与賞与仕訳		2026年6月現新					
給与賞与仕訳		2026年7月現新					
SSO実装	8月までに新システムでのSSO実装の手順をFixする。旧システムリンクを削除し、新システムへのSSOを実現させる。	並行稼働方法検討決定					
SSO実装		IdP設定					
SSO実装		Invitation送信・SSO開始					
SSO実装		旧リンク削除					
タスク	タスク情報	進行ステージ					
情報成果物発注改善	下請け法、取適法対応として発注書発行業務の必須化と請書の必須化を目的とする。	発注書・請書の必要性啓蒙準備					
情報成果物発注改善		情報成果物発注の実態調査（アンケート）					
情報成果物発注改善		発注書・請書の必要性啓蒙					
情報成果物発注改善		請書Googleフォーム開発					
情報成果物発注改善		請書対象発注抽出部開発					
