システム番号	システム名	ベンダ	本部紐づけ	BPRタスク1	BPRタスク2	BPRタスク3	BPRタスク4
170	基幹管理会計ＣＯ	MKI	事業支援本部	原価配賦処理停止	音楽事業品番管理簡素化		
171	人事システム	LEG/BPIO	総務人事本部	新人事SaaSシステム導入	社員検索、タレマネ機能、組織図業務統合		
173	アーカイブシステム	NII	事業支援本部	Windows'2012Serverリプレイス			
174	スタジオ管理	NII	レーベル事業本部	SaaS連携	BI機能強化		
176	勤怠システム	BC	総務人事本部	営業利益管理構想			
177	グッズ事業管理システム	BC	ライヴ事業本部	管理会計軸共通化			
178	ライヴ事業管理システム	BC	ライヴ事業本部	管理会計軸共通化			
179	著作権再分配システム	DTS	音楽出版事業本部				
180	契約システム	DTS	事業支援本部				
181	法務決裁システム	DTS	コーポレート本部				
182	アーティスト分配システム	ベスビオ	事業支援本部				
183	印税ステメンWEB報告	DTS	事業支援本部	セコム見直し			
185	著作隣接権分配、二次利用計上システム	DTS・ベスビオ	事業支援本部				
186	音楽事業管理システム	BC	事業支援本部	管理会計軸共通化			
187	音楽出版ステメンWEB報告	DTS	事業支援本部	セコム見直し			
188	マスター資源管理システム	NII	事業支援本部				
189	委員会分配システム	DTS	アニメ事業本部				
190	映像事業管理システム	BC	アニメ事業本部	管理会計軸共通化			
191	押印・契約書保管申請	DTS	コーポレート本部				
192	社員目標管理システム	DTS	総務人事本部				
195	管理会計軸マスタ管理	BC	事業支援本部	管理会計軸共通化			
197	データマート	DTS（BC）	レーベル事業本部				
198	音楽配信メタ納品システム	DTS（BC）	レーベル事業本部				
199	音楽配信実績取り込みシステム	DTS	レーベル事業本部				
-	<システム未割当>		レーベル事業本部	Regend譲渡原盤確定、管理方法	Regend原盤報告機能		
-	<システム未割当>		事業支援本部	情報成果物発注改善			
							
							
							
タスク	タスク情報	進行ステージ					
原価配賦処理停止	仕掛品の原価化処理の後端で品番に配賦している処理を停止し、影響を受けるシステムでの対応を行い仕訳の数を削減する	ユーザヒアリング（事業管理）					
原価配賦処理停止		ユーザヒアリング（経理）					
原価配賦処理停止		影響システム処理調査					
原価配賦処理停止		影響システム改修					
原価配賦処理停止		配賦処理停止依頼					
原価配賦処理停止		配賦処理停止タイミング確定（事業管理）					
原価配賦処理停止		配賦処理停止説明（事業管理）					
原価配賦処理停止		配賦処理停止					
原価配賦処理停止		効果測定					
新人事SaaSシステム導入	EOS対応として2026年8月までに新SaaS人事システムへのリプレイスを行う	ユーザヒアリング（人事G）					
新人事SaaSシステム導入		RFP作成					
新人事SaaSシステム導入		RFP配布					
新人事SaaSシステム導入		提案コンペ					
新人事SaaSシステム導入		ベンダ、ソリューション確定					
新人事SaaSシステム導入		Fit＆Gap（マッピング）					
新人事SaaSシステム導入		移行データ作成					
新人事SaaSシステム導入		新人事IF開発　API					
新人事SaaSシステム導入		新人事IF開発　DB間連携					
新人事SaaSシステム導入		受入システム側開発					
新人事SaaSシステム導入		新人事システム切替					
管理会計軸共通化	音楽・映像・ライヴ・MD・マネジメント事業の管理軸の統合を行う	ユーザヒアリング（音楽）					
管理会計軸共通化		ユーザヒアリング（映像）					
管理会計軸共通化		ユーザヒアリング（ライヴ）					
管理会計軸共通化		ユーザヒアリング（マネジメント）					
管理会計軸共通化		ユーザヒアリング（MD）					
管理会計軸共通化		アーティスト軸統合阻害要因検討					
管理会計軸共通化		アーティストマスタ運用体制整備					
管理会計軸共通化		アーティストコード整備対象システム特定					
管理会計軸共通化		企画書業務分析					
管理会計軸共通化		発番、納品、Product業務レイヤ分析					
管理会計軸共通化		実績計上（会計）処理分析					
管理会計軸共通化		現状仕訳分析					
セコム見直し	セコムトラストシステムのサービスで構築されているセキュア環境でのステートメント発行アーキの刷新を検討する。コストダウン、業務負荷削減、権利者メリットがあれば切り替えを検討する。	類似サービス情報収集					
セコム見直し		ウイングアークプレゼン					
セコム見直し		ステメン数算定、ランニング見積					
セコム見直し		ＡＡＡプレゼン					
セコム見直し		ステメン数算定、ランニング見積					
情報成果物発注改善	下請け法、取適法対応として発注書発行業務の必須化と請書の必須化を目的とする。	発注書・請書の必要性啓蒙準備					
情報成果物発注改善		情報成果物発注の実態調査（アンケート）					
情報成果物発注改善		発注書・請書の必要性啓蒙					
情報成果物発注改善		請書Googleフォーム開発					
情報成果物発注改善		請書対象発注抽出部開発					
